Linha do Tempo;Valores;Previsão;Limite de Confiança Inferior;Limite de Confiança Superior;;Estatística;Valor
2;62;;;;;Alpha;0,13
3;63;;;;;Beta;0,00
4;63;;;;;Gamma;0,00
5;63;;;;;MASE;2,36
6;64;;;;;SMAPE;0,08
7;70;;;;;MAE;6,16
8;67;;;;;RMSE;6,64
9;71;;;;;;
10;71;;;;;;
11;76;;;;;;
12;71;;;;;;
13;77;;;;;;
14;76;;;;;;
15;78;;;;;;
16;77;;;;;;
17;76;;;;;;
18;84;;;;;;
19;70;;;;;;
20;69;;;;;;
21;70;;;;;;
22;69;;;;;;
23;67;67;67,00;67,00;;;
24;;74,95533671;64,92;84,99;;;
25;;75,43817435;65,32;85,55;;;
26;;75,921012;65,72;86,12;;;
27;;76,40384964;66,12;86,68;;;
28;;76,88668728;66,52;87,25;;;
29;;77,36952493;66,92;87,81;;;
